Wall time,Step,Value
1544026832.154981,10,11.105140686035156
1544026832.155769,13,11.023406982421875
1544026832.1564384,16,10.929092407226562
1544026832.15707,19,10.834936141967773
1544026832.1576898,22,10.74105453491211
1544026832.1583066,25,10.65217399597168
1544026832.158922,28,10.563924789428711
1544026832.1595464,31,10.458074569702148
1544026832.160162,34,10.360544204711914
1544026832.1607723,37,10.270723342895508
1544026832.161383,40,10.159770965576172
1544026832.1619928,42,10.057365417480469
1544026832.1626084,46,9.945395469665527
1544026832.1632302,49,9.796564102172852
1544026832.163847,52,9.66409969329834
1544026832.1644516,54,9.494382858276367
1544026832.1650658,57,9.302181243896484
1544026832.1656725,61,9.086788177490234
1544026832.1662693,64,8.870802879333496
1544026832.1668797,67,8.639959335327148
1544026832.1675053,70,8.453145980834961
1544026832.1680834,73,8.277641296386719
1544026832.1686637,75,8.065637588500977
1544026832.1692414,78,7.959454536437988
1544026832.169816,82,7.810812473297119
1544026832.1703954,85,7.737675189971924
1544026832.1709678,88,7.601231098175049
1544026832.1715586,90,7.571200370788574
1544026832.1721346,94,7.438945770263672
1544026832.1727073,97,7.426679611206055
1544026832.1732848,99,7.395028114318848
1544026832.1738591,103,7.333400249481201
1544026832.174435,106,7.299734592437744
1544026832.1750214,109,7.246341705322266
1544026832.1755996,112,7.247676849365234
1544026832.1761816,115,7.188309669494629
1544026832.176749,118,7.161411285400391
1544026832.1773198,121,7.176450252532959
1544026832.1778975,124,7.147658348083496
1544026832.1784716,127,7.132054328918457
1544026832.179059,130,7.098881721496582
1544026832.1796367,133,7.05098819732666
1544026832.1801872,136,7.086479663848877
1544026832.1807392,139,7.029038429260254
1544026832.1812787,142,7.027061462402344
1544026832.1818347,145,6.9966654777526855
1544026832.1823833,148,6.988553047180176
1544026832.182929,151,6.953715801239014
1544026832.1834936,154,6.949652671813965
1544026832.184045,157,6.903432369232178
1544026832.1845987,160,6.929332733154297
1544026832.1851554,163,6.890836715698242
1544026832.185699,166,6.868262767791748
1544026832.1862419,169,6.881897449493408
1544026832.1867957,172,6.845030307769775
1544026832.1873646,175,6.835078239440918
1544026832.1879196,178,6.8420939445495605
1544026832.1884718,181,6.813169479370117
1544026832.1890216,184,6.779594898223877
1544026832.189569,187,6.822114944458008
1544026832.1901135,190,6.76026725769043
1544026832.190664,193,6.708096504211426
1544026832.1912234,196,6.720386505126953
1544026832.1917484,199,6.748023986816406
1544026832.192272,202,6.720632553100586
1544026832.192793,204,6.708563804626465
1544026832.1933181,208,6.703365325927734
1544026832.193843,211,6.691469192504883
1544026832.1943674,214,6.660332202911377
1544026832.194895,217,6.653242588043213
1544026832.195417,220,6.658214092254639
1544026832.1959424,223,6.687994956970215
1544026832.1964662,226,6.672006130218506
1544026832.196991,229,6.610299110412598
1544026832.197517,231,6.595475673675537
1544026832.1980379,235,6.55525016784668
1544026832.1985614,238,6.5864973068237305
1544026832.1990879,241,6.583131790161133
1544026832.1996098,244,6.553994178771973
1544026832.2001312,247,6.568148136138916
